epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2761.59,1.04272,0.88314,0.00369,0.63861,0.59676,0.62217,0.44258,0.97804,0.92643,0.00627,0.00999945,0.00333315,0.00999945,0.00333315,0.00999945,0.00333315,0.00999945,0.00333315
2,5435.08,0.94051,0.55006,0.00328,0.60906,0.61767,0.60404,0.43047,0.99987,1.02227,0.00639,0.0199918,0.00666394,0.0199918,0.00666394,0.0199918,0.00666394,0.0199918,0.00666394
3,8158.04,0.91893,0.5218,0.00321,0.60143,0.60865,0.5835,0.41544,1.00635,1.05023,0.00646,0.0299537,0.00998456,0.0299537,0.00998456,0.0299537,0.00998456,0.0299537,0.00998456
4,10840.9,0.89158,0.4929,0.00311,0.60636,0.59967,0.5694,0.41,1.01571,1.15066,0.00656,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,13479.8,0.83885,0.44686,0.00291,0.60358,0.58082,0.56725,0.40545,1.03991,1.23401,0.00679,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,16131,0.81251,0.42534,0.0028,0.61729,0.5769,0.56365,0.39976,1.05449,1.24388,0.00695,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
