epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,639.019,0.77718,0.40962,0.0029,0.67418,0.63911,0.60762,0.42041,1.11616,1.15565,0.00777,0.00999213,0.00333071,0.00999213,0.00333071,0.00999213,0.00333071,0.00999213,0.00333071
2,1267.08,0.76299,0.39087,0.00281,0.65115,0.65448,0.60235,0.41238,1.12005,1.15494,0.00779,0.0199872,0.00666241,0.0199872,0.00666241,0.0199872,0.00666241,0.0199872,0.00666241
3,1910.38,0.80248,0.41675,0.00299,0.62714,0.64318,0.59971,0.40085,1.15332,1.0866,0.00811,0.0299628,0.00998761,0.0299628,0.00998761,0.0299628,0.00998761,0.0299628,0.00998761
4,2557.96,0.84487,0.4538,0.00321,0.6369,0.62715,0.61642,0.41586,1.13158,1.15678,0.00784,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3213.05,0.83353,0.44481,0.00314,0.65717,0.61477,0.60444,0.41012,1.14877,1.14597,0.00809,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3870.02,0.82302,0.43373,0.00309,0.61875,0.63334,0.59088,0.40409,1.11189,1.16071,0.00779,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4527.43,0.81605,0.42782,0.00306,0.66921,0.64182,0.6133,0.42186,1.11608,1.13405,0.00775,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,5177.28,0.80798,0.41921,0.00302,0.69189,0.63234,0.61393,0.42302,1.12397,1.13232,0.00788,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,5819.45,0.79787,0.41038,0.00297,0.70179,0.62954,0.61197,0.42001,1.12053,1.14238,0.00783,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,6465.31,0.79406,0.40787,0.00296,0.68595,0.63352,0.61863,0.4251,1.12629,1.15477,0.00792,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,7156.56,0.7878,0.40201,0.00294,0.6685,0.63742,0.61032,0.41979,1.12336,1.16812,0.00787,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,7803.86,0.78527,0.39817,0.00291,0.67341,0.63224,0.60861,0.41998,1.12053,1.18014,0.00786,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,8456.47,0.78222,0.39642,0.00291,0.67791,0.61837,0.6079,0.41833,1.12311,1.19272,0.00788,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,9109.76,0.77865,0.39427,0.00289,0.67447,0.61973,0.60672,0.4166,1.12438,1.18996,0.00791,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
