epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
15,9765.56,0.77499,0.3905,0.00287,0.67727,0.61421,0.60526,0.41533,1.12556,1.19258,0.00792,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,10431.7,0.77324,0.38701,0.00286,0.68088,0.61164,0.60504,0.41546,1.12725,1.19413,0.00794,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,11087,0.77182,0.38591,0.00287,0.68409,0.60636,0.60501,0.41525,1.13017,1.19607,0.00796,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,11746.7,0.76889,0.38273,0.00283,0.67393,0.61344,0.60492,0.41501,1.13259,1.19072,0.00797,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,12417.2,0.76625,0.38212,0.00283,0.67073,0.61938,0.60596,0.41593,1.1337,1.18755,0.00798,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,13075.6,0.76477,0.37893,0.00283,0.66762,0.62014,0.60447,0.41505,1.13486,1.18605,0.00798,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,13731.3,0.7633,0.38004,0.00283,0.66756,0.61658,0.6025,0.41356,1.13581,1.1873,0.00799,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,14387,0.75685,0.37444,0.00279,0.66391,0.61858,0.59996,0.41103,1.13694,1.19006,0.00799,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,15042.1,0.75655,0.37321,0.00278,0.65968,0.62074,0.59837,0.41146,1.13723,1.19305,0.00798,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,15691.5,0.7537,0.37186,0.00277,0.66166,0.61644,0.59712,0.41002,1.13686,1.19823,0.00797,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,16336,0.7504,0.36882,0.00275,0.66564,0.6122,0.59553,0.40915,1.13661,1.20608,0.00797,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,16988.9,0.74861,0.3674,0.00276,0.66584,0.61178,0.59223,0.40694,1.13585,1.21298,0.00795,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,17628.9,0.74602,0.36393,0.00273,0.6617,0.61452,0.59231,0.40627,1.13484,1.21651,0.00794,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,18277.1,0.74598,0.36502,0.00274,0.6576,0.61591,0.59329,0.40685,1.1351,1.2168,0.00794,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,18921.3,0.74354,0.36272,0.00272,0.66912,0.60529,0.59418,0.40789,1.13358,1.22224,0.00792,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,19572.3,0.73994,0.363,0.0027,0.66183,0.60982,0.59179,0.40573,1.13261,1.22709,0.00791,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,20222.8,0.73724,0.35784,0.00269,0.66684,0.60577,0.59045,0.40508,1.13431,1.22714,0.00793,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,20870.7,0.73538,0.35684,0.00269,0.66223,0.60894,0.59128,0.40545,1.13382,1.23058,0.00792,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,21535,0.73314,0.35249,0.00269,0.65651,0.61476,0.58972,0.40397,1.13454,1.23293,0.00794,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,22200.5,0.73145,0.35247,0.00267,0.66018,0.61193,0.58996,0.40419,1.13592,1.23734,0.00796,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,22845,0.72608,0.35017,0.00265,0.66988,0.60619,0.59082,0.40556,1.13692,1.23983,0.00797,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,23507.5,0.72565,0.34744,0.00266,0.6734,0.60608,0.59104,0.40542,1.13741,1.24076,0.00797,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,24168,0.722,0.34545,0.00263,0.67371,0.60765,0.59199,0.40544,1.13782,1.23966,0.00797,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,24818.2,0.72011,0.34446,0.00263,0.67238,0.60797,0.59099,0.40437,1.13899,1.24435,0.00798,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,25465.5,0.71732,0.34526,0.00262,0.67686,0.60106,0.59171,0.40548,1.13966,1.25139,0.00799,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,26104.2,0.71439,0.34178,0.0026,0.68072,0.59945,0.59315,0.40574,1.14188,1.25183,0.00801,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
